d_tip_0,d_tip_1,d_tip_2,d_tip_3,d_tip_4,d_pinch_1,d_pinch_2,d_pinch_3,d_pinch_4,label_id
160,169,191,256,310,303,292,320,337,0
172,186,188,252,306,328,295,311,334,0
160,179,196,260,316,303,278,304,334,0
158,184,199,259,316,312,293,312,340,0
158,188,203,265,320,316,294,317,344,0
157,195,212,267,324,322,306,321,346,0
156,178,198,256,317,303,287,307,340,0
155,188,208,263,323,312,299,314,343,0
155,188,209,267,328,313,296,317,350,0
156,189,211,268,325,316,302,324,353,0
154,183,200,255,317,309,293,309,342,0
154,183,204,260,320,308,296,312,344,0
154,194,212,268,328,318,302,319,350,0
154,195,216,271,327,319,305,324,352,0
153,186,207,262,320,311,300,317,346,0
155,184,205,262,320,312,301,319,348,0
155,183,203,262,322,308,294,316,347,0
154,181,199,256,318,305,291,307,339,0
157,188,207,264,323,313,291,312,343,0
156,183,202,261,319,308,289,310,341,0
155,184,205,262,322,309,298,315,346,0
156,184,204,263,322,312,297,316,348,0
155,187,209,270,328,312,299,321,352,0
156,189,207,264,321,318,305,322,350,0
156,180,199,257,318,304,290,309,342,0
155,189,208,264,323,313,300,317,346,0
155,186,204,262,322,308,292,310,342,0
153,186,209,265,323,308,296,315,343,0
152,187,207,265,325,311,295,316,349,0
154,184,207,262,323,309,301,315,346,0
154,186,207,268,326,306,287,312,343,0
156,190,208,266,323,319,303,323,351,0
156,186,210,264,323,313,307,319,347,0
155,186,209,269,326,308,290,317,349,0
154,187,203,264,321,314,293,315,345,0
155,189,209,267,324,317,304,323,352,0
155,188,206,264,324,316,301,320,351,0
155,189,208,265,323,317,305,320,349,0
156,186,206,262,324,313,301,316,348,0
154,186,204,262,320,308,289,308,339,0
157,189,208,265,323,315,297,318,347,0
156,183,203,262,324,308,293,312,345,0
156,182,200,257,318,307,293,309,342,0
154,193,211,269,329,316,297,316,348,0
154,194,215,269,328,319,305,323,353,0
156,188,207,262,321,316,305,319,348,0
156,188,207,262,323,312,297,312,343,0
156,190,213,269,325,313,299,319,348,0
155,183,203,259,321,312,300,316,350,0
157,186,205,263,324,314,300,318,350,0
212,327,458,488,486,191,305,327,349,0
197,285,477,504,542,137,314,341,388,0
233,341,435,403,394,213,260,219,233,0
191,324,415,408,426,204,268,259,305,0
181,316,406,409,441,201,264,266,317,0
181,301,394,399,436,186,252,256,313,0
182,282,373,381,432,168,227,231,297,0
184,267,389,395,444,159,240,244,307,0
186,279,375,388,445,172,228,240,308,0
186,288,387,396,450,174,239,246,314,0
184,267,374,386,446,160,226,233,304,0
187,267,385,395,452,156,235,242,311,0
187,270,378,395,452,171,229,241,308,0
185,262,362,377,443,168,216,223,299,0
190,277,380,392,448,162,229,239,310,0
190,262,378,392,447,150,224,235,303,0
193,294,390,402,452,169,233,244,307,0
188,271,370,388,451,161,219,232,305,0
191,271,382,398,457,159,229,242,312,0
192,266,386,400,456,154,231,243,311,0
187,273,372,391,452,165,223,236,307,0
189,267,376,387,445,154,223,230,301,0
190,261,368,385,441,141,216,229,300,0
190,290,384,395,450,169,231,239,306,0
191,260,374,389,448,142,215,227,298,0
192,258,372,390,450,149,215,228,299,0
191,267,380,397,456,155,224,237,306,0
193,278,393,407,460,164,238,249,315,0
189,280,391,408,463,165,238,253,320,0
190,272,387,400,457,157,234,245,314,0
192,273,386,400,457,153,229,241,310,0
192,282,392,409,466,169,236,250,317,0
193,278,397,408,463,159,241,251,318,0
192,285,391,406,462,170,235,247,315,0
193,283,379,397,458,176,227,239,310,0
193,275,388,402,458,151,231,242,311,0
192,288,393,407,462,169,238,249,315,0
191,289,383,400,458,177,232,244,312,0
194,280,393,409,462,158,237,251,317,0
191,302,387,403,459,189,238,249,315,0
194,275,397,410,465,157,242,252,320,0
191,296,387,402,459,185,238,249,316,0
190,283,385,397,452,164,232,242,310,0
190,267,375,390,452,159,220,230,303,0
190,265,365,382,448,157,208,219,296,0
196,289,398,409,456,162,239,249,312,0
194,260,367,387,448,138,207,223,297,0
190,281,389,406,466,164,237,252,324,0
190,280,382,397,457,169,228,240,311,0
192,275,374,391,452,163,221,234,307,0
128,135,101,70,120,233,219,197,220,0
143,158,203,261,310,294,307,338,373,0
148,160,221,276,331,295,316,352,397,0
149,163,229,284,337,299,327,362,401,0
148,164,227,277,333,298,323,356,402,0
146,160,225,274,331,292,320,352,400,0
145,161,223,269,329,293,313,343,394,0
149,158,222,267,325,291,314,344,391,0
147,165,213,259,321,299,306,331,380,0
146,164,213,265,326,300,306,338,390,0
146,156,208,257,316,290,291,319,369,0
146,159,207,255,317,294,297,324,373,0
148,166,208,255,318,302,295,321,372,0
149,159,197,249,314,299,292,320,372,0
149,161,203,250,314,301,299,323,373,0
147,170,207,251,317,308,306,327,376,0
143,173,214,261,322,307,301,328,380,0
149,168,203,255,320,309,295,327,381,0
150,167,200,251,318,309,293,321,377,0
150,169,209,258,323,311,305,331,381,0
144,168,209,256,319,302,290,319,374,0
148,159,194,250,312,298,284,320,376,0
151,163,207,259,323,305,302,333,385,0
